"","Approved Symbol","Protein_Name","Chromosome","Chromosome band","UniProt ID(supplied by UniProt)","arm"
"20308","MYOZ2","MYOZ2","4","4q26","Q9NPC6","q"
"20309","MYOZ3","MYOZ3","5","5q33.1","Q8TDC0","q"
"20310","MYP1","MYP1","X","Xq28",NA,"q"
"20311","MYP2","MYP10","18","18p11.31",NA,"p"
"20312","MYP3","MYP11","12","12q21-q23",NA,"q"
"20313","MYP4","MYP12","7","7q36",NA,"q"
"20314","MYP5","MYP13","17","17q21-q22",NA,"q"
"20315","MYP7","MYP14","11","11p13",NA,"p"
"20316","MYP8","MYP15","3","3q26",NA,"q"
"20317","MYP9","MYP16","4","4q12",NA,"q"
"20318","MYP10","MYP17","8","8p23",NA,"p"
"20319","MYP11","MYP18","4","4q22-q27",NA,"q"
"20320","MYP12","MYP2","2","2q37.1",NA,"q"
"20321","MYP13","MYP3","X","Xq23-q25",NA,"q"
"20322","MYP14","MYP4","1","1p36",NA,"p"
"20323","MYP15","MYP5","10","10q21.1",NA,"q"
"20324","MYP16","MYP7","5","5p15.33-p15.2",NA,"p"
"20325","MYP17","MYP8","7","7p15",NA,"p"
"20326","MYP18","MYP9","14","14q22.1-q24.2",NA,"q"
"20327","MYPN","MYPN","10","10q21.3","Q86TC9","q"
"20328","MYPOP","MYPOP","19","19q13.32","Q86VE0","q"
"20329","MYRF","MYRF","11","11q12.2","Q9Y2G1","q"
"20330","MYRFL","MYRFL","12","12q15","Q96LU7","q"
"20331","MYRIP","MYRIP","3","3p22.1","Q8NFW9","p"
"20332","MYSA","MYSA","reserved","reserved",NA,"d"
"20333","MYSM1","MYSM1","1","1p32.1","Q5VVJ2","p"
"20334","MYT1","MYT1","20","20q13.33","Q01538","q"
"20335","MYT1L","MYT1L","2","2p25.3","Q9UL68","p"
"20336","MYT1L-AS1","MYT1L-AS1","2","2p25.3",NA,"p"
"20337","MYZAP","MYZAP","15","15q21.3","P0CAP1","q"
"20338","MZB1","MZB1","5","5q31.2","Q8WU39","q"
"20339","MZF1","MZF1","19","19q13.43","P28698","q"
"20340","MZF1-AS1","MZF1-AS1","19","19q13.43",NA,"q"
"20341","MZT1","MZT1","13","13q21.33","Q08AG7","q"
"20342","MZT1P1","MZT1P1","1","1p36.22",NA,"p"
"20343","MZT1P2","MZT1P2","7","7q34",NA,"q"
"20344","MZT2A","MZT2A","2","2q21.1","Q6P582","q"
"20345","MZT2B","MZT2B","2","2q21.1","Q6NZ67","q"
"20346","N4BP1","N4BP1","16","16q12.1","O75113","q"
"20347","N4BP2","N4BP2","4","4p14","Q86UW6","p"
"20348","N4BP2L1","N4BP2L1","13","13q13.1","Q5TBK1","q"
"20349","N4BP2L2","N4BP2L2","13","13q13.1","Q92802","q"
"20350","N4BP2L2-IT2","N4BP2L2-IT2","13","13q13.1",NA,"q"
"20351","N4BP3","N4BP3","5","5q35.3","O15049","q"
"20352","N6AMT1","N6AMT1","21","21q21.3","Q9Y5N5","q"
"20353","NAA10","NAA10","X","Xq28","P41227","q"
"20354","NAA11","NAA11","4","4q21.21","Q9BSU3","q"
"20355","NAA15","NAA15","4","4q31.1","Q9BXJ9","q"
"20356","NAA16","NAA16","13","13q14.11","Q6N069","q"
"20357","NAA20","NAA20","20","20p11.23","P61599","p"
"20358","NAA25","NAA25","12","12q24.13","Q14CX7","q"
"20359","NAA30","NAA30","14","14q22.2","Q147X3","q"
"20360","NAA35","NAA35","9","9q21.33","Q5VZE5","q"
"20361","NAA38","LSMD1","17","17p13.1","Q9BRA0","p"
"20362","NAA40","NAA40","11","11q13.1","Q86UY6","q"
"20363","NAA50","NAA50","3","3q13.31","Q9GZZ1","q"
"20364","NAA60","NAA60","16","16p13.3","Q9H7X0","p"
"20365","NAAA","NAAA","4","4q21.1","Q02083","q"
"20366","NAALAD2","NAALAD2","11","11q14.3","Q9Y3Q0","q"
"20367","NAALADL1","NAALADL1","11","11q13.1","Q9UQQ1","q"
"20368","NAALADL2","NAALADL2","3","3q26.31","Q58DX5","q"
"20369","NAALADL2-AS1","NAALADL2-AS1","3","3q26.3",NA,"q"
"20370","NAALADL2-AS2","NAALADL2-AS2","3","3q26.3",NA,"q"
"20371","NAALADL2-AS3","NAALADL2-AS3","3","3q26.3",NA,"q"
"20372","NAB1","NAB1","2","2q32.2","Q13506","q"
"20373","NAB2","NAB2","12","12q13.3","Q15742","q"
"20374","NABP1","NABP1","2","2q32.3","Q96AH0","q"
"20375","NABP2","NABP2","12","12q13.3","Q9BQ15","q"
"20376","NACA","NACA","12","12q23-q24.1","E9PAV3, Q13765","q"
"20377","NACA2","NACA2","17","17q23.3","Q9H009","q"
"20378","NACA3P","NACA3P","4","4q32.3",NA,"q"
"20379","NACAD","NACAD","7","7p13","O15069","p"
"20380","NACAP1","NACAP1","8","8q22.3","Q9BZK3","q"
"20381","NACAP2","NACAP2","10","10q26.12",NA,"q"
"20382","NACAP3","NACAP3","12","12q22",NA,"q"
"20383","NACAP4","NACAP4","2","2p24.3",NA,"p"
"20384","NACAP5","NACAP5","4","4p15.32",NA,"p"
"20385","NACAP6","NACAP6","5","5p15.1",NA,"p"
"20386","NACAP7","NACAP7","6","6q15",NA,"q"
"20387","NACC1","NACC1","19","19p13.13","Q96RE7","p"
"20388","NACC2","NACC2","9","9q34.3","Q96BF6","q"
"20389","NADK","NADK","1","1p36.33","O95544","p"
"20390","NADK2","NADK2","5","5p13.2","Q4G0N4","p"
"20391","NADK2-AS1","NADK2-AS1","5","5p13.2",NA,"p"
"20392","NADSYN1","NADSYN1","11","11q13.4","Q6IA69","q"
"20393","NAE1","NAE1","16","16q22.1","Q13564","q"
"20394","NAF1","NAF1","4","4q32.2","Q96HR8","q"
"20395","NAGA","NAGA","22","22q13.2","P17050","q"
"20396","NAGK","NAGK","2","2p13.3","Q9UJ70","p"
"20397","NAGLU","NAGLU","17","17q21.2","P54802","q"
"20398","NAGPA","NAGPA","16","16p13.3","Q9UK23","p"
"20399","NAGPA-AS1","NAGPA-AS1","16","16p13.3",NA,"p"
"20400","NAGS","NAGS","17","17q21.31","Q8N159","q"
"20401","NAIF1","NAIF1","9","9q34.11","Q69YI7","q"
"20402","NAIP","NAIP","5","5q13.2","Q13075","q"
"20403","NALCN","NALCN","13","13q32.3-q33.1","Q8IZF0","q"
"20404","NALCN-AS1","NALCN-AS1","13","13q32.3",NA,"q"
"20405","NALT1","NALT1","9","9q34.3",NA,"q"
"20406","NAMA","NAMA","9","9q22.33",NA,"q"
"20407","NAMPT","NAMPT","7","7q22.3","P43490","q"
"20408","NAMPTP1","NAMPTP1","10","10p11.21",NA,"p"
"20409","NAMPTP2","NAMPTP2","5","5q31.3",NA,"q"
"20410","NAMPTP3","NAMPTP3","16","16p11.2",NA,"p"
"20411","NANOG","NANOG","12","12p13.31","Q9H9S0","p"
"20412","NANOGNB","NANOGNB","12","12p13.31","Q7Z5D8","p"
"20413","NANOGNBP1","NANOGNBP1","2","2q11.2",NA,"q"
"20414","NANOGNBP2","NANOGNBP2","12","12q24.33",NA,"q"
"20415","NANOGNBP3","NANOGNBP3","X","Xq22.1",NA,"q"
"20416","NANOGP1","NANOGP1","12","12p13.31","Q8N7R0","p"
"20417","NANOGP2","NANOGP10","2","2q36.1",NA,"q"
"20418","NANOGP3","NANOGP11","6","6p12.1",NA,"p"
"20419","NANOGP4","NANOGP2","7","7p14.3",NA,"p"
"20420","NANOGP5","NANOGP3","9","9q31.1",NA,"q"
"20421","NANOGP6","NANOGP4","10","10q24.2",NA,"q"
"20422","NANOGP7","NANOGP5","14","14q32.12",NA,"q"
"20423","NANOGP8","NANOGP6","15","15q14","Q6NSW7","q"
"20424","NANOGP9","NANOGP7","X","Xq12",NA,"q"
"20425","NANOGP10","NANOGP8","X","Xp11.3",NA,"p"
"20426","NANOGP11","NANOGP9","6","6q25",NA,"q"
"20427","NANOS1","NANOS1","10","10q26.11","Q8WY41","q"
"20428","NANOS2","NANOS2","19","19q13.32","P60321","q"
"20429","NANOS3","NANOS3","19","19p13.13","P60323","p"
"20430","NANP","NANP","20","20p11.21","Q8TBE9","p"
"20431","NANS","NANS","9","9q22.33","Q9NR45","q"
"20432","NAP1L1","NAP1L1","12","12q21.1","P55209","q"
"20433","NAP1L1P1","NAP1L1P1","11","11q24.2",NA,"q"
"20434","NAP1L1P2","NAP1L1P2","Y","Yp11.2",NA,"p"
"20435","NAP1L1P3","NAP1L1P3","3","3q13.33",NA,"q"
"20436","NAP1L2","NAP1L2","X","Xq13.2","Q9ULW6","q"
"20437","NAP1L3","NAP1L3","X","Xq21.32","Q99457","q"
"20438","NAP1L4","NAP1L4","11","11p15.4","Q99733","p"
"20439","NAP1L4P1","NAP1L4P1","1","1p13.1",NA,"p"
"20440","NAP1L4P2","NAP1L4P2","X","Xq22.3",NA,"q"
"20441","NAP1L4P3","NAP1L4P3","13","13q14.2",NA,"q"
"20442","NAP1L5","NAP1L5","4","4q22.1","Q96NT1","q"
"20443","NAP1L6","NAP1L6","X","Xq13.2","A6NFF2","q"
"20444","NAPA","NAPA","19","19q13.33","P54920","q"
"20445","NAPA-AS1","NAPA-AS1","19","19q13.32-q13.33",NA,"q"
"20446","NAPB","NAPB","20","20p11.21","Q9H115","p"
"20447","NAPEPLD","NAPEPLD","7","7q22.1","Q6IQ20","q"
"20448","NAPG","NAPG","18","18p11.22","Q99747","p"
"20449","NAPGP1","NAPGP1","10","10q23.31",NA,"q"
"20450","NAPGP2","NAPGP2","6","6p21.33",NA,"p"
"20451","NAPRT","NAPRT","8","8q24.3","Q6XQN6","q"
"20452","NAPSA","NAPSA","19","19q13.33","O96009","q"
"20453","NAPSB","NAPSB","19","19q13.33",NA,"q"
"20454","NARF","NARF","17","17q25.3","Q9UHQ1","q"
"20455","NARF-IT1","NARF-IT1","17","17q25.3",NA,"q"
"20456","NARFL","NARFL","16","16p13.3","Q9H6Q4","p"
"20457","NARS","NARS","18","18q21.31","O43776","q"
"20458","NARS2","NARS2","11","11q14.1","Q96I59","q"
"20459","NARSP1","NARSP1","14","14q12",NA,"q"
"20460","NARSP2","NARSP2","8","8q12.3",NA,"q"
"20461","NASP","NASP","1","1p34.1","P49321","p"
"20462","NASPP1","NASPP1","8","8q12",NA,"q"
"20463","NAT1","NAT1","8","8p22","P18440","p"
"20464","NAT2","NAT10","8","8p22","P11245","p"
"20465","NAT6","NAT14","3","3p21.31","Q93015","p"
"20466","NAT8","NAT16","2","2p13.1","Q9UHE5","p"
"20467","NAT8B","NAT2","2","2p13.1","Q9UHF3","p"
"20468","NAT8L","NAT6","4","4p16.3","Q8N9F0","p"
"20469","NAT9","NAT8","17","17q25.2","Q9BTE0","q"
"20470","NAT10","NAT8B","11","11p13","Q9H0A0","p"
"20471","NAT14","NAT8L","19","19q13.42","Q8WUY8","q"
"20472","NAT16","NAT9","7","7q22.1","Q8N8M0","q"
"20473","NATD1","NATD1","17","17p11.2","Q8N6N6","p"
"20474","NATP","NATP","8","8p22",NA,"p"
"20475","NAV1","NAV1","1","1q32.1","Q8NEY1","q"
"20476","NAV2","NAV2","11","11p15.1","Q8IVL1","p"
"20477","NAV2-AS1","NAV2-AS1","11","11p15.1",NA,"p"
"20478","NAV2-AS2","NAV2-AS2","11","11p15.1",NA,"p"
"20479","NAV2-AS3","NAV2-AS3","11","11p15.1",NA,"p"
"20480","NAV2-AS4","NAV2-AS4","11","11p15.1",NA,"p"
"20481","NAV2-AS5","NAV2-AS5","11","11p15.1",NA,"p"
"20482","NAV2-IT1","NAV2-IT1","11","11p15.1",NA,"p"
"20483","NAV3","NAV3","12","12q21.2","Q8IVL0","q"
"20484","NAXD","CARKD","13","13q34","Q8IW45","q"
"20485","NAXE","NAXE","1","1q22","Q8NCW5","q"
"20486","NBAS","NBAS","2","2p24.3","A2RRP1","p"
"20487","NBAT1","NBAT1","6","6p22.3",NA,"p"
"20488","NBDY","NBDY","X","Xp11.21",NA,"p"
"20489","NBEA","NBEA","13","13q13.3","Q8NFP9","q"
"20490","NBEAL1","NBEAL1","2","2q33.2","Q6ZS30","q"
"20491","NBEAL2","NBEAL2","3","3p21.31","Q6ZNJ1","p"
"20492","NBEAP1","NBEAP1","15","15q11.2","P0C6P0","q"
"20493","NBEAP2","NBEAP2","2","2q21.1",NA,"q"
"20494","NBEAP3","NBEAP3","22","22q11.1",NA,"q"
"20495","NBEAP4","NBEAP4","15","15q11.2",NA,"q"
"20496","NBEAP5","NBEAP5","14","14q11.2",NA,"q"
"20497","NBEAP6","NBEAP6","14","14q11.2",NA,"q"
"20498","NBL1","NBL1","1","1p36.13","P41271","p"
"20499","NBN","NBN","8","8q21.3","O60934","q"
"20500","NBPF1","NBPF1","1","1p36.13","Q3BBV0","p"
"20501","NBPF2P","NBPF10","1","1p36.12",NA,"p"
"20502","NBPF3","NBPF11","1","1p36.12","Q9H094","p"
"20503","NBPF4","NBPF12","1","1p13.3","Q96M43","p"
"20504","NBPF5P","NBPF13P","1","1p13.3","Q86XG9","p"
"20505","NBPF6","NBPF14","1","1p13.3","Q5VWK0","p"
"20506","NBPF7","NBPF15","1","1p12","P0C2Y1","p"
"20507","NBPF8","NBPF17P","1","1p11.2","Q3BBV2","p"
"20508","NBPF9","NBPF18P","1","1q21.2","Q3BBW0","q"
"20509","NBPF10","NBPF19","1","1q21.1","Q6P3W6","q"
"20510","NBPF11","NBPF20","1","1q21.2","Q86T75","q"
"20511","NBPF12","NBPF21P","1","1q21.1","Q5TAG4","q"
"20512","NBPF13P","NBPF22P","1","1q21.1",NA,"q"
"20513","NBPF14","NBPF25P","1","1q21.2","Q5TI25","q"
"20514","NBPF15","NBPF26","1","1q21.1","Q8N660","q"
"20515","NBPF17P","NBPF2P","1","1q21.1",NA,"q"
"20516","NBPF18P","NBPF3","1","1q21.3",NA,"q"
"20517","NBPF19","NBPF4","1","1q21.2","A0A087WUL8","q"
"20518","NBPF20","NBPF5P","1","1q21.1","Q3BBV1","q"
"20519","NBPF21P","NBPF6","3","3p22.2",NA,"p"
"20520","NBPF22P","NBPF7","5","5q14.3",NA,"q"
"20521","NBPF25P","NBPF8","1","1q21.1",NA,"q"
"20522","NBPF26","NBPF9","1","1p11.2","B4DH59","p"
"20523","NBR1","NBR1","17","17q21.31","Q14596","q"
"20524","NBR2","NBR2","17","17q21.31","O15453","q"
"20525","NCALD","NCALD","8","8q22.3","P61601","q"
"20526","NCAM1","NCAM1","11","11q23.2","P13591","q"
"20527","NCAM1-AS1","NCAM1-AS1","11","11q23.2",NA,"q"
"20528","NCAM2","NCAM2","21","21q21.1","O15394","q"
"20529","NCAN","NCAN","19","19p12","O14594","p"
"20530","NCAPD2","NCAPD2","12","12p13.31","Q15021","p"
"20531","NCAPD2P1","NCAPD2P1","7","7p14.3",NA,"p"
"20532","NCAPD3","NCAPD3","11","11q25","P42695","q"
"20533","NCAPG","NCAPG","4","4p15.31","Q9BPX3","p"
"20534","NCAPG2","NCAPG2","7","7q36.3","Q86XI2","q"
"20535","NCAPGP1","NCAPGP1","8","8q24.12",NA,"q"
"20536","NCAPGP2","NCAPGP2","15","15q13.2",NA,"q"
"20537","NCAPH","NCAPH","2","2q11.2","Q15003","q"
"20538","NCAPH2","NCAPH2","22","22q13.33","Q6IBW4","q"
"20539","NCBP1","NCBP1","9","9q22.33","Q09161","q"
"20540","NCBP2","NCBP2","3","3q29","P52298","q"
"20541","NCBP2-AS1","NCBP2-AS1","3","3q29",NA,"q"
"20542","NCBP2-AS2","NCBP2-AS2","3","3q29","Q69YL0","q"
"20543","NCBP2L","NCBP2L","X","Xq22.3","A6PVI3","q"
"20544","NCBP3","NCBP3","17","17p13.2","Q53F19","p"
"20545","NCCRP1","NCCRP1","19","19q13.2","Q6ZVX7","q"
"20546","NCDN","NCDN","1","1p34.3","Q9UBB6","p"
"20547","NCEH1","NCEH1","3","3q26.31","Q6PIU2","q"
"20548","NCF1","NCF1","7","7q11.23","P14598","q"
"20549","NCF1B","NCF1B","7","7q11.23","A6NI72","q"
"20550","NCF1C","NCF1C","7","7q11.23","A8MVU1","q"
"20551","NCF2","NCF2","1","1q25.3","P19878","q"
"20552","NCF4","NCF4","22","22q12.3","Q15080","q"
"20553","NCF4-AS1","NCF4-AS1","22","22q12.3",NA,"q"
"20554","NCK1","NCK1","3","3q22.3","P16333","q"
"20555","NCK1-AS1","NCK1-AS1","3","3q22.3",NA,"q"
"20556","NCK2","NCK2","2","2q12.2","O43639","q"
"20557","NCKAP1","NCKAP1","2","2q32.1","Q9Y2A7","q"
"20558","NCKAP1L","NCKAP1L","12","12q13.13-q13.2","P55160","q"
"20559","NCKAP5","NCKAP5","2","2q21.2","O14513","q"
"20560","NCKAP5-IT1","NCKAP5-IT1","2","2q21.2",NA,"q"
"20561","NCKAP5L","NCKAP5L","12","12q13.12","Q9HCH0","q"
"20562","NCKIPSD","NCKIPSD","3","3p21.31","Q9NZQ3","p"
"20563","NCL","NCL","2","2q37.1","P19338","q"
"20564","NCLN","NCLN","19","19p13.3","Q969V3","p"
"20565","NCLP1","NCLP1","9","9q34.3",NA,"q"
"20566","NCLP2","NCLP2","X","Xq26.3",NA,"q"
"20567","NCMAP","NCMAP","1","1p36.11","Q5T1S8","p"
"20568","NCOA1","NCOA1","2","2p23.3","Q15788","p"
"20569","NCOA2","NCOA2","8","8q13.3","Q15596","q"
"20570","NCOA3","NCOA3","20","20q13.12","Q9Y6Q9","q"
"20571","NCOA4","NCOA4","10","10q11.22","Q13772","q"
"20572","NCOA4P1","NCOA4P1","14","14q23.3",NA,"q"
"20573","NCOA4P2","NCOA4P2","4","4q22.1",NA,"q"
"20574","NCOA4P3","NCOA4P3","4","4q31.21",NA,"q"
"20575","NCOA4P4","NCOA4P4","5","5q31.2",NA,"q"
"20576","NCOA5","NCOA5","20","20q13.12","Q9HCD5","q"
"20577","NCOA6","NCOA6","20","20q11.22","Q14686","q"
"20578","NCOA7","NCOA7","6","6q22.31-q22.32","Q8NI08","q"
"20579","NCOA7-AS1","NCOA7-AS1","6","6q22.32",NA,"q"
"20580","NCOR1","NCOR1","17","17p12-p11.2","O75376","p"
"20581","NCOR1P1","NCOR1P1","20","20p11.1","Q9H4R4","p"
"20582","NCOR1P2","NCOR1P2","17","17p11.2",NA,"p"
"20583","NCOR1P3","NCOR1P3","7","7p11.2",NA,"p"
"20584","NCOR2","NCOR2","12","12q24.31","Q9Y618","q"
"20585","NCR1","NCR1","19","19q13.42","O76036","q"
"20586","NCR2","NCR2","6","6p21.1","O95944","p"
"20587","NCR3","NCR3","6","6p21.33","O14931","p"
"20588","NCR3LG1","NCR3LG1","11","11p15.1","Q68D85","p"
"20589","NCRUPAR","NCRUPAR","5","5q13.3",NA,"q"
"20590","NCS1","NCS1","9","9q34.11","P62166","q"
"20591","NCSTN","NCSTN","1","1q23.2","Q92542","q"
"20592","NCSTNP1","NCSTNP1","21","21q21.3",NA,"q"
"20593","NDC1","NDC1","1","1p32.3","Q9BTX1","p"
"20594","NDC80","NDC80","18","18p11.32","O14777","p"
"20595","NDE1","NDE1","16","16p13.11","Q9NXR1","p"
"20596","NDE1P1","NDE1P1","1","1p13.3",NA,"p"
"20597","NDE1P2","NDE1P2","13","13q13.3",NA,"q"
"20598","NDEL1","NDEL1","17","17p13.1","Q9GZM8","p"
"20599","NDFIP1","NDFIP1","5","5q31.3","Q9BT67","q"
"20600","NDFIP1P1","NDFIP1P1","12","12p12.3",NA,"p"
"20601","NDFIP2","NDFIP2","13","13q31.1","Q9NV92","q"
"20602","NDFIP2-AS1","NDFIP2-AS1","13","13q31.1",NA,"q"
"20603","NDN","NDN","15","15q11.2","Q99608","q"
"20604","NDNF","NDNF","4","4q27","Q8TB73","q"
"20605","NDOR1","NDOR1","9","9q34.3","Q9UHB4","q"
"20606","NDP","NDP","X","Xp11.3","Q00604","p"
"20607","NDP-AS1","NDP-AS1","X","Xp11.3",NA,"p"
"20608","NDRG1","NDRG1","8","8q24.22","Q92597","q"
"20609","NDRG2","NDRG2","14","14q11.2","Q9UN36","q"
"20610","NDRG3","NDRG3","20","20q11.23","Q9UGV2","q"
"20611","NDRG4","NDRG4","16","16q21","Q9ULP0","q"
"20612","NDST1","NDST1","5","5q33.1","P52848","q"
"20613","NDST1-AS1","NDST1-AS1","5","5q33.1",NA,"q"
"20614","NDST2","NDST2","10","10q22.2","P52849","q"
"20615","NDST3","NDST3","4","4q26","O95803","q"
"20616","NDST4","NDST4","4","4q26","Q9H3R1","q"
"20617","NDUFA1","NDUFA1","X","Xq24","O15239","q"
"20618","NDUFA2","NDUFA10","5","5q31.3","O43678","q"
"20619","NDUFA3","NDUFA11","19","19q13.42","O95167","q"
"20620","NDUFA3P1","NDUFA12","19","19q13.31",NA,"q"
"20621","NDUFA3P2","NDUFA12P1","11","11q13.2",NA,"q"
"20622","NDUFA3P3","NDUFA13","1","1q42.12",NA,"q"
"20623","NDUFA3P4","NDUFA2","15","15q26.1",NA,"q"
"20624","NDUFA3P5","NDUFA3","13","13q32.1",NA,"q"
"20625","NDUFA3P6","NDUFA3P1","16","16p11.2",NA,"p"
"20626","NDUFA4","NDUFA3P2","7","7p21.3","O00483","p"
"20627","NDUFA4L2","NDUFA3P3","12","12q13.3","Q9NRX3","q"
"20628","NDUFA4P1","NDUFA3P4","1","1p13.3",NA,"p"
"20629","NDUFA4P2","NDUFA3P5","3","3q13.11",NA,"q"
"20630","NDUFA5","NDUFA3P6","7","7q31.32","Q16718","q"
"20631","NDUFA5P1","NDUFA4","11","11p15.4",NA,"p"
"20632","NDUFA5P2","NDUFA4L2","8","8q22.3",NA,"q"
"20633","NDUFA5P3","NDUFA4P1","9","9p22.1",NA,"p"
"20634","NDUFA5P4","NDUFA4P2","9","9p13.3",NA,"p"
"20635","NDUFA5P5","NDUFA5","3","3p11.1",NA,"p"
"20636","NDUFA5P6","NDUFA5P1","12","12q24.32",NA,"q"
"20637","NDUFA5P7","NDUFA5P10","X","Xq21.2",NA,"q"
"20638","NDUFA5P8","NDUFA5P11","11","11p15.4",NA,"p"
"20639","NDUFA5P9","NDUFA5P12","6","6q14.3",NA,"q"
"20640","NDUFA5P10","NDUFA5P2","1","1p13.3",NA,"p"
"20641","NDUFA5P11","NDUFA5P3","16","16q12.1",NA,"q"
"20642","NDUFA5P12","NDUFA5P4","8","8q11.1",NA,"q"
"20643","NDUFA6","NDUFA5P5","22","22q13.2","P56556","q"
"20644","NDUFA6-AS1","NDUFA5P6","22","22q13.2",NA,"q"
"20645","NDUFA7","NDUFA5P7","19","19p13.2","O95182","p"
"20646","NDUFA8","NDUFA5P8","9","9q33.2","P51970","q"
"20647","NDUFA8P1","NDUFA5P9","10","10q22.2",NA,"q"
"20648","NDUFA9","NDUFA6","12","12p13.3","Q16795","p"
"20649","NDUFA9P1","NDUFA6-AS1","22","22q12.3",NA,"q"
"20650","NDUFA10","NDUFA7","2","2q37.3","O95299","q"
"20651","NDUFA11","NDUFA8","19","19p13.3","Q86Y39","p"
"20652","NDUFA12","NDUFA8P1","12","12q22","Q9UI09","q"
"20653","NDUFA12P1","NDUFA9","13","13q32.3",NA,"q"
"20654","NDUFA13","NDUFA9P1","19","19p13.11","Q9P0J0","p"
"20655","NDUFAB1","NDUFAB1","16","16p12.2","O14561","p"
"20656","NDUFAB1P1","NDUFAB1P1","6","6q13",NA,"q"
"20657","NDUFAF1","NDUFAF1","15","15q15.1","Q9Y375","q"
"20658","NDUFAF2","NDUFAF2","5","5q12.1","Q8N183","q"
"20659","NDUFAF3","NDUFAF3","3","3p21.31","Q9BU61","p"
"20660","NDUFAF4","NDUFAF4","6","6q16.1","Q9P032","q"
"20661","NDUFAF4P1","NDUFAF4P1","15","15q21.1",NA,"q"
"20662","NDUFAF4P2","NDUFAF4P2","7","7q21.3",NA,"q"
"20663","NDUFAF4P3","NDUFAF4P3","3","3p22.2",NA,"p"
"20664","NDUFAF4P4","NDUFAF4P4","1","1q25.1",NA,"q"
"20665","NDUFAF5","NDUFAF5","20","20p12.1","Q5TEU4","p"
"20666","NDUFAF6","NDUFAF6","8","8q22.1","Q330K2","q"
"20667","NDUFAF7","NDUFAF7","2","2p22.2","Q7L592","p"
"20668","NDUFAF8","C17orf89","17","17q25.3","A1L188","q"
"20669","NDUFB1","NDUFB1","14","14q31.3","O75438","q"
"20670","NDUFB1P1","NDUFB10","3","3p21.31",NA,"p"
"20671","NDUFB1P2","NDUFB10P1","1","1q41",NA,"q"
"20672","NDUFB2","NDUFB10P2","7","7q34","O95178","q"
"20673","NDUFB2-AS1","NDUFB11","7","7q34",NA,"q"
"20674","NDUFB2P1","NDUFB11P1","4","4q32.1",NA,"q"
"20675","NDUFB3","NDUFB1P1","2","2q33.1","O43676","q"
"20676","NDUFB3P1","NDUFB1P2","1","1p13.3",NA,"p"
"20677","NDUFB3P2","NDUFB2","9","9q33.3",NA,"q"
"20678","NDUFB3P3","NDUFB2-AS1","14","14q22.1",NA,"q"
"20679","NDUFB3P4","NDUFB2P1","14","14q32.2",NA,"q"
"20680","NDUFB3P5","NDUFB3","X","Xq26.3-q27.3",NA,"q"
"20681","NDUFB4","NDUFB3P1","3","3q13.33","O95168","q"
"20682","NDUFB4P1","NDUFB3P2","3","3p14.1",NA,"p"
"20683","NDUFB4P2","NDUFB3P3","5","5q11.2",NA,"q"
"20684","NDUFB4P3","NDUFB3P4","17","17p11.2",NA,"p"
"20685","NDUFB4P4","NDUFB3P5","2","2p23.3",NA,"p"
"20686","NDUFB4P5","NDUFB4","2","2p11.2",NA,"p"
"20687","NDUFB4P6","NDUFB4P1","2","2q14.1",NA,"q"
"20688","NDUFB4P7","NDUFB4P10","2","2p11.2",NA,"p"
"20689","NDUFB4P8","NDUFB4P11","1","1p36.33",NA,"p"
"20690","NDUFB4P9","NDUFB4P12","4","4q31.1",NA,"q"
"20691","NDUFB4P10","NDUFB4P2","20","20q13.12",NA,"q"
"20692","NDUFB4P11","NDUFB4P3","14","14q32.32",NA,"q"
"20693","NDUFB4P12","NDUFB4P4","4","4p13",NA,"p"
"20694","NDUFB5","NDUFB4P5","3","3q26.33","O43674","q"
"20695","NDUFB5P1","NDUFB4P6","4","4q34.3",NA,"q"
"20696","NDUFB5P2","NDUFB4P7","X","Xq21.33",NA,"q"
"20697","NDUFB6","NDUFB4P8","9","9p21.1","O95139","p"
"20698","NDUFB7","NDUFB4P9","19","19p13.12","P17568","p"
"20699","NDUFB8","NDUFB5","10","10q24.31","O95169","q"
"20700","NDUFB8P1","NDUFB5P1","14","14q24.3",NA,"q"
"20701","NDUFB8P2","NDUFB5P2","17","17q23.1",NA,"q"
"20702","NDUFB8P3","NDUFB6","11","11p13",NA,"p"
"20703","NDUFB9","NDUFB7","8","8q24.13","Q9Y6M9","q"
"20704","NDUFB9P1","NDUFB8","5","5q13.2",NA,"q"
"20705","NDUFB9P2","NDUFB8P1","7","7q32.3",NA,"q"
"20706","NDUFB9P3","NDUFB8P2","8","8q23.2",NA,"q"
"20707","NDUFB10","NDUFB8P3","16","16p13.3","O96000","p"
"20708","NDUFB10P1","NDUFB9","15","15q21.3",NA,"q"
"20709","NDUFB10P2","NDUFB9P1","7","7q34",NA,"q"
"20710","NDUFB11","NDUFB9P2","X","Xp11.3","Q9NX14","p"
"20711","NDUFB11P1","NDUFB9P3","11","11q14.3",NA,"q"
"20712","NDUFC1","NDUFC1","4","4q31.1","O43677","q"
"20713","NDUFC2","NDUFC2","11","11q14.1","O95298","q"
"20714","NDUFC2-KCTD14","NDUFC2-KCTD14","11","11q14.1","E9PQ53","q"
"20715","NDUFS1","NDUFS1","2","2q33.3","P28331","q"
"20716","NDUFS2","NDUFS2","1","1q23.3","O75306","q"
"20717","NDUFS3","NDUFS3","11","11p11.2","O75489","p"
